cell_id,longitude,latitude
c00121,-46.5422,-23.4687
c00122,-46.558,-23.522
c00123,-47.0108,-23.151
c00124,-46.6309,-23.0876
c00125,-46.8584,-23.6815
c00126,-43.2509,-22.8721
c00127,-46.5297,-23.6573
c00128,-46.5578,-23.4857
c00129,-45.8869,-23.1899
c00130,-46.5315,-23.5272
c00131,-46.494,-23.4158
c00132,-46.5084,-23.4677
c00133,-46.1783,-23.3999
c00134,-46.5434,-23.5356
c00135,-45.8625,-23.2852
c00136,-45.5686,-23.0381
c00137,-43.1832,-22.9034
c00138,-46.4686,-23.6699
c00139,-46.7182,-23.6342
c00140,-45.6999,-23.0958
c00141,-46.3296,-23.5111
c00142,-46.6948,-23.5756
c00143,-46.6493,-23.5711
c00144,-46.698,-23.6103
c00145,-46.4663,-23.4986
c00146,-43.2726,-22.8779
c00147,-46.5989,-23.5793
c00148,-46.5798,-23.6688
c00149,-45.9318,-23.2477
c00150,-46.6862,-23.5983
c00151,-46.62,-23.5194
c00152,-46.4604,-23.4664
c00153,-46.5275,-23.4694
c00154,-46.6942,-23.5646
c00155,-46.7112,-23.5703
c00156,-46.5296,-23.6425
c00157,-47.1474,-22.8473
c00158,-46.6705,-23.5597
c00159,-46.738,-23.5421
c00160,-46.4909,-23.4682
c00161,-46.7022,-23.6723
c00162,-46.6434,-23.5497
c00163,-46.9349,-23.5431
c00164,-47.0664,-22.8346
c00165,-46.4529,-23.4682
c00166,-46.4545,-23.6804
c00167,-46.5668,-23.5042
c00168,-44.6802,-22.5068
c00169,-46.4266,-23.7157
c00170,-46.5214,-23.4589
c00171,-46.8781,-23.5958
c00172,-46.3264,-23.9233
c00173,-46.1937,-22.7702
c00174,-46.3445,-23.8642
c00175,-45.915,-23.3235
c00176,-45.5688,-23.038
c00177,-46.4177,-23.9547
c00178,-43.1864,-22.9041
c00179,-46.5071,-23.6278
c00180,-46.423,-23.5401
c00181,-46.5365,-23.6388
c00182,-46.8302,-23.633
c00183,-46.6765,-23.5578
c00184,-46.498,-23.4627
c00185,-46.5292,-23.6506
c00186,-46.6344,-23.5362
c00187,-46.5415,-23.4685
c00188,-46.6087,-23.5603
c00189,-46.7616,-23.5312
c00190,-46.2928,-23.9439
c00191,-46.5733,-23.6547
c00192,-46.1707,-23.5067
c00193,-46.7225,-23.6405
c00194,-46.6039,-23.5119
c00195,-46.7049,-23.565
c00196,-46.705,-23.5689
c00197,-46.6324,-23.5322
c00198,-46.7108,-23.5251
c00199,-43.2038,-22.9654
c00200,-43.1806,-22.9001
c00201,-46.4948,-23.447
c00202,-46.5069,-23.528
c00203,-46.7517,-23.6067
c00204,-46.9595,-23.1024
c00205,-46.6468,-23.5504
c00206,-43.8724,-22.6651
c00207,-45.9059,-23.2074
c00208,-46.3289,-23.4497
c00209,-46.6046,-23.7371
c00210,-46.9634,-23.1047
c00211,-45.7316,-23.3217
c00212,-46.6693,-23.5279
c00213,-46.7024,-23.5675
c00214,-46.7151,-23.6308
c00215,-46.8569,-23.6741
c00216,-46.5949,-23.2481
c00217,-46.38,-23.6951
c00218,-43.1903,-22.9851
c00219,-46.4706,-23.6881
c00220,-45.5548,-22.9697
c00221,-46.8379,-23.5176
c00222,-46.3646,-23.5399
c00223,-46.558,-23.5262
c00224,-46.3425,-23.5635
c00225,-46.9886,-22.813
c00226,-43.2531,-22.9911
c00227,-46.6399,-23.6273
c00228,-46.3815,-23.5526
c00229,-45.5647,-23.0244
c00230,-47.0125,-22.9364
c00231,-46.3223,-22.8404
c00232,-46.6377,-23.5345
c00233,-46.7258,-23.5779
c00234,-46.5599,-23.4824
c00235,-43.1737,-22.9345
c00236,-46.8151,-23.6476
c00237,-46.6522,-23.5521
c00238,-46.7007,-23.6243
c00239,-45.4624,-22.9264
c00240,-46.6299,-23.6438
c00241,-46.3467,-23.5807
c00242,-46.3282,-23.927
c00243,-46.5767,-23.5459
c00244,-45.8827,-23.2299
c00245,-46.7548,-23.5007
c00246,-46.757,-23.4386
c00247,-46.7135,-23.6756
c00248,-45.9142,-23.2
c00249,-46.6784,-23.5828
c00250,-47.0657,-22.8865
c00251,-46.7126,-23.6283
c00252,-46.8407,-23.3329
c00253,-46.824,-23.6276
c00254,-46.2088,-23.528
c00255,-46.661,-23.6256
c00256,-46.6609,-23.5541
c00257,-46.5285,-23.4729
c00258,-46.8484,-23.4993
c00259,-46.8633,-23.5148
c00260,-43.2273,-22.5572
c00261,-44.8981,-23.3347
c00262,-46.6577,-23.5812
c00263,-46.6558,-23.5573
c00264,-46.6131,-23.5216
c00265,-46.647,-23.5488
c00266,-47.3163,-23.2655
c00267,-43.2428,-22.986
c00268,-46.6659,-23.5556
c00269,-46.3921,-23.962
c00270,-46.7277,-23.5666
c00271,-46.3472,-23.5823
c00272,-46.3467,-23.5785
c00273,-46.3308,-23.9345
c00274,-45.6167,-22.8479
c00275,-46.4477,-23.5419
c00276,-46.6926,-23.5928
c00277,-46.8089,-23.5761
c00278,-46.63,-23.5555
c00279,-46.9251,-23.8201
c00280,-46.5422,-23.6497
c00281,-46.7972,-23.5131
c00282,-46.8506,-23.6416
c00283,-47.2977,-22.7116
c00284,-46.4723,-23.6954
c00285,-46.6546,-23.5504
c00286,-44.9584,-23.375
c00287,-46.3348,-23.4878
c00288,-43.1748,-22.9657
c00289,-46.5611,-23.5146
c00290,-43.222,-22.8948
c00291,-46.7768,-23.5241
c00292,-46.7024,-23.5672
c00293,-46.9536,-23.8671
c00294,-46.6923,-23.5912
c00295,-46.8338,-23.522
c00296,-46.7247,-23.5867
c00297,-46.3469,-23.4578
c00298,-46.6831,-23.5672
c00299,-43.2864,-22.7918
c00300,-46.5826,-23.5574
c00301,-43.1819,-22.9003
c00302,-46.7228,-23.6404
c00303,-46.6291,-23.6466
c00304,-46.6305,-23.6401
c00305,-47.094,-22.9588
c00306,-46.1502,-23.381
c00307,-46.5863,-23.539
c00308,-46.7022,-23.621
c00309,-46.4791,-23.5425
c00310,-46.6569,-23.5608
c00311,-46.989,-23.1839
c00312,-46.6517,-23.6042
c00313,-46.6111,-23.5226
c00314,-46.3226,-23.9558
c00315,-46.264,-23.3834
c00316,-44.5053,-22.4237
c00317,-46.2261,-23.4953
c00318,-46.5912,-23.5946
c00319,-45.9268,-23.2042
c00320,-46.5543,-23.5281
c00321,-46.6845,-23.5819
c00322,-46.6435,-23.5378
c00323,-46.2939,-23.4202
c00324,-46.9975,-23.1652
c00325,-46.6462,-23.5268
c00326,-47.079,-22.8454
c00327,-46.5442,-23.485
c00328,-43.1822,-22.9118
c00329,-46.4685,-23.6738
c00330,-46.5284,-23.652
c00331,-46.7225,-23.6405
c00332,-45.8786,-23.1689
c00333,-46.9177,-23.5297
c00334,-46.5248,-23.4984
c00335,-46.6319,-23.5541
c00336,-46.6992,-23.5682
c00337,-46.719,-23.5223
c00338,-46.5385,-23.6354
c00339,-46.9032,-23.5285
c00340,-46.6072,-23.5948
c00341,-46.6369,-23.5994
c00342,-46.6421,-23.6211
c00343,-46.1552,-23.385
c00344,-46.6629,-23.6045
c00345,-45.3106,-23.222
c00346,-43.1826,-22.9047
c00347,-46.7302,-23.5324
c00348,-46.4776,-23.4256
c00349,-46.5403,-23.4806
c00350,-46.3669,-23.4149
c00351,-46.3323,-23.4509
c00352,-46.5465,-23.1043
c00353,-46.6458,-23.5185
c00354,-43.2038,-22.9543
c00355,-46.8292,-23.2073
c00356,-46.7814,-23.4471
c00357,-46.4587,-23.6665
c00358,-46.4972,-23.6617
c00359,-46.188,-23.4097
c00360,-43.1908,-22.984
c00361,-46.4788,-23.6636
c00362,-46.8489,-23.4939
c00363,-46.9214,-23.8042
c00364,-46.7043,-23.6176
c00365,-46.9629,-23.8732
c00366,-46.6845,-23.5112
c00367,-45.908,-23.2123
c00368,-45.0689,-23.4446
c00369,-46.127,-23.3637
c00370,-46.5027,-23.4253
c00371,-46.5679,-23.4402
c00372,-45.9136,-23.3232
c00373,-46.2556,-23.4399
c00374,-45.4303,-23.6109
c00375,-45.9154,-23.2008
c00376,-46.5693,-23.5106
c00377,-45.3583,-23.2031
c00378,-46.608,-23.5588
c00379,-46.547,-23.6165
c00380,-47.1502,-22.8333
c00381,-47.3156,-23.2658
c00382,-43.1923,-22.9818
c00383,-45.4283,-23.6486
c00384,-46.4525,-23.4681
c00385,-46.8519,-23.699
c00386,-46.2279,-23.1652
c00387,-46.6171,-23.5212
c00388,-43.233,-22.9666
c00389,-46.4862,-23.4294
c00390,-46.9355,-23.5466
c00391,-43.1915,-22.981
c00392,-46.3351,-23.4987
c00393,-46.6644,-23.6082
c00394,-45.579,-22.7275
c00395,-46.7558,-23.4998
c00396,-43.3057,-22.8419
c00397,-45.9076,-23.2121
c00398,-45.7425,-23.2081
c00399,-46.5306,-23.7634
c00400,-46.7444,-23.603
c00401,-46.8501,-23.6523
c00402,-45.4439,-23.5953
c00403,-46.1317,-23.3295
c00404,-46.4579,-23.9443
c00405,-46.3616,-23.6127
c00406,-45.9238,-23.2338
c00407,-46.7225,-23.6405
c00408,-46.4603,-23.1399
c00409,-46.5903,-23.5937
c00410,-44.3642,-22.4528
c00411,-45.0616,-23.459
c00412,-45.4072,-23.7651
c00413,-46.7346,-23.5746
c00414,-46.752,-23.6072
c00415,-45.8987,-23.1954
c00416,-46.4364,-23.4206
c00417,-46.5061,-23.6845
c00418,-45.5831,-23.4734
c00419,-46.5837,-23.2459
c00420,-46.7341,-23.5479
c00421,-46.6308,-23.6439
c00422,-46.4904,-23.462
c00423,-46.3296,-23.5275
c00424,-46.8808,-23.6423
c00425,-46.5503,-23.5352
c00426,-46.1165,-23.3584
c00427,-46.5572,-23.5374
c00428,-46.7765,-23.5186
c00429,-46.1247,-23.3578
c00430,-46.3309,-23.5078
c00431,-46.6351,-23.0808
c00432,-46.4632,-23.4898
c00433,-46.5292,-23.4729
c00434,-46.6454,-23.552
c00435,-46.5416,-23.628
c00436,-46.6311,-23.5272
c00437,-46.3129,-23.8862
c00438,-46.8574,-23.6837
c00439,-46.7339,-23.5828
c00440,-46.8524,-23.6056
c00441,-46.4689,-23.48
c00442,-46.6597,-23.6151
c00443,-45.9505,-23.2627
c00444,-45.9064,-23.2266
c00445,-46.7614,-23.5701
c00446,-46.1262,-23.3534
c00447,-46.7578,-23.6098
c00448,-46.7017,-23.622
c00449,-43.1848,-22.9041
c00450,-46.5035,-23.6634
c00451,-46.6712,-23.5603
c00452,-43.218,-22.9737
c00453,-44.502,-22.4761
c00454,-46.6046,-23.5656
c00455,-43.2192,-22.8961
c00456,-46.645,-23.5728
c00457,-46.8013,-23.4744
c00458,-46.661,-23.618
c00459,-46.5001,-23.6244
c00460,-46.8313,-23.5162
c00461,-46.7867,-23.6151
c00462,-45.9179,-23.2358
c00463,-46.8484,-23.7092
c00464,-46.5405,-23.4807
c00465,-46.3736,-22.8784
c00466,-45.4454,-23.5962
c00467,-46.6081,-23.6848
c00468,-46.6691,-23.5285
c00469,-46.2586,-22.7982
c00470,-46.7364,-23.5549
c00471,-45.1983,-23.5182
c00472,-43.1994,-22.9596
c00473,-45.9519,-23.2607
c00474,-45.5718,-23.036
c00475,-46.8496,-23.4979
c00476,-46.5821,-23.5327
c00477,-46.3082,-23.4006
c00478,-44.5237,-22.444
c00479,-46.5983,-23.5791
c00480,-46.5123,-23.4661
c00481,-46.8503,-23.6246
c00482,-43.2282,-22.8843
c00483,-46.5592,-23.4861
c00484,-46.3147,-23.9369
c00485,-46.4966,-23.4654
c00486,-46.7356,-23.5437
c00487,-46.8464,-23.0409
c00488,-46.5091,-23.6726
c00489,-45.8242,-23.1716
c00490,-46.852,-23.7066
c00491,-47.009,-22.8971
c00492,-46.4907,-23.6585
c00493,-43.1858,-22.9035
c00494,-46.564,-23.5144
c00495,-46.6689,-23.5589
c00496,-46.639,-23.5955
c00497,-43.2121,-22.8798
c00498,-46.6964,-23.603
c00499,-43.2164,-22.9802
c00500,-46.6257,-23.5377
c00501,-46.6247,-23.538
c00502,-46.3427,-23.5689
c00503,-46.6002,-23.5864
c00504,-46.9942,-23.1433
c00505,-46.6712,-23.5612
c00506,-46.6584,-23.5356
c00507,-46.8539,-23.6472
c00508,-46.7285,-23.5748
c00509,-46.8323,-23.5679
c00510,-46.652,-23.6009
c00511,-44.0811,-22.5869
c00512,-43.2074,-22.9614
c00513,-46.6369,-23.5533
c00514,-46.5816,-23.5238
c00515,-46.8374,-23.5608
c00516,-46.7167,-23.5085
c00517,-46.5359,-23.5322
c00518,-43.1895,-22.9759
c00519,-46.596,-23.5879
c00520,-46.6404,-23.6242
c00521,-46.8156,-23.5244
c00522,-46.4912,-23.6649
c00523,-46.6451,-23.5732
c00524,-46.5898,-23.5924
c00525,-46.9456,-23.1354
c00526,-46.4977,-23.6605
c00527,-45.9535,-23.1845
c00528,-43.21,-22.9197
c00529,-46.742,-23.5183
c00530,-46.4997,-23.6596
c00531,-46.5249,-23.6634
c00532,-46.5377,-23.4685
c00533,-46.8509,-23.6556
c00534,-46.3762,-23.4234
c00535,-47.1041,-23.4393
c00536,-45.4526,-22.9734
c00537,-46.6758,-23.5594
c00538,-46.7023,-23.5674
c00539,-46.7475,-23.5277
c00540,-46.63,-23.6341
c00541,-46.9885,-23.1774
c00542,-46.3537,-23.4657
c00543,-43.4997,-22.7602
c00544,-43.1843,-22.9697
c00545,-46.5251,-23.6546
c00546,-45.0668,-23.4243
c00547,-46.7676,-23.4099
c00548,-46.6723,-23.5271
c00549,-46.4262,-23.4359
c00550,-46.6549,-23.6206
c00551,-46.689,-23.509
c00552,-46.5416,-23.6336
c00553,-46.5811,-23.5232
c00554,-45.9182,-23.199
c00555,-46.7097,-23.6157
c00556,-46.0084,-23.4207
c00557,-43.1726,-22.9361
c00558,-46.8678,-23.2597
c00559,-46.738,-23.5238
c00560,-46.995,-22.8318
c00561,-46.2864,-23.9409
c00562,-45.5631,-23.0336
c00563,-46.4966,-23.6655
c00564,-45.1222,-23.3687
c00565,-46.8238,-23.6769
c00566,-45.8688,-23.1797
c00567,-46.8518,-23.6298
c00568,-46.3156,-23.9495
c00569,-46.5387,-23.47
c00570,-46.3464,-23.5755
c00571,-46.0157,-23.3
c00572,-45.3181,-23.5792
c00573,-46.6946,-23.5786
c00574,-46.3332,-23.4895
c00575,-45.2046,-22.8229
c00576,-46.8877,-23.1697
c00577,-46.7509,-23.5863
c00578,-45.8519,-23.2504
c00579,-46.333,-23.4926
c00580,-46.1906,-23.4069
c00581,-46.7876,-23.6352
c00582,-46.2856,-23.9503
c00583,-46.3453,-23.5733
c00584,-46.5614,-23.5372
c00585,-46.7016,-23.5709
c00586,-46.698,-23.5722
c00587,-46.9737,-23.1795
c00588,-46.7513,-23.6074
c00589,-46.576,-23.5353
c00590,-46.8275,-23.6542
c00591,-43.2139,-22.9616
c00592,-45.9519,-23.2813
c00593,-46.3132,-23.9664
c00594,-46.526,-23.662
c00595,-46.6252,-23.5379
c00596,-46.7252,-23.5602
c00597,-46.4633,-23.4678
c00598,-46.3353,-22.8551
c00599,-46.8195,-23.5606
c00600,-46.43,-23.4202
c00601,-46.5837,-23.5298
c00602,-46.2295,-23.3183
c00603,-46.5898,-23.5923
c00604,-44.441,-22.4612
c00605,-46.6684,-23.5616
c00606,-46.8867,-23.5097
c00607,-46.6454,-23.528
c00608,-46.614,-23.5377
c00609,-43.2202,-22.4913
c00610,-45.8745,-23.2733
c00611,-46.7733,-23.3786
c00612,-46.5462,-23.5334
c00613,-43.1858,-22.9035
c00614,-46.938,-23.5498
c00615,-46.1827,-23.5153
c00616,-46.7078,-23.5181
c00617,-46.4137,-23.5428
c00618,-46.2095,-23.5283
c00619,-46.4334,-23.4373
c00620,-46.3115,-23.887
c00621,-46.5852,-23.4761
c00622,-46.4385,-23.7402
c00623,-46.7691,-23.5209
c00624,-45.8964,-23.2004
c00625,-46.5098,-23.8054
c00626,-46.5838,-23.5219
c00627,-46.6395,-23.6143
c00628,-46.7643,-23.6396
c00629,-46.6924,-23.5084
c00630,-43.2461,-22.8146
c00631,-46.4688,-23.6654
c00632,-46.5189,-23.4712
c00633,-46.4864,-23.7231
c00634,-46.3763,-23.937
c00635,-46.7767,-23.529
c00636,-43.2096,-22.9241
c00637,-46.5703,-23.5173
c00638,-46.9968,-23.1795
c00639,-46.8439,-23.6564
c00640,-46.5574,-23.5296
c00641,-46.3457,-23.9294
c00642,-45.1224,-23.3576
c00643,-46.9198,-23.6222
c00644,-46.4667,-23.7032
c00645,-43.176,-22.91
c00646,-46.9264,-23.8249
c00647,-46.5274,-23.475
c00648,-46.7454,-23.5326
c00649,-46.3568,-23.6079
c00650,-45.9033,-23.2126
c00651,-43.1729,-22.9525
c00652,-46.6636,-23.5611
c00653,-43.1797,-22.9155
c00654,-45.5286,-23.1053
c00655,-46.7412,-23.5391
c00656,-46.9274,-23.5673
c00657,-46.6303,-23.5226
c00658,-46.0954,-23.3207
c00659,-46.6659,-23.5522
c00660,-46.5932,-23.5304
c00661,-46.8517,-23.4964
c00662,-46.9433,-23.1387
c00663,-46.2583,-23.5429
c00664,-45.1218,-23.3616
c00665,-46.9984,-23.1146
c00666,-47.2521,-22.7584
c00667,-46.8352,-23.5391
c00668,-45.4105,-23.7252
c00669,-46.8068,-23.5116
c00670,-46.4011,-23.4304
c00671,-46.6709,-23.5127
c00672,-46.9306,-23.1725
c00673,-45.9498,-23.2601
c00674,-46.9887,-23.0657
c00675,-46.7746,-23.5287
c00676,-46.5406,-23.6697
c00677,-46.5688,-23.6105
c00678,-46.6607,-23.554
c00679,-46.7275,-23.5748
c00680,-45.4314,-23.867
c00681,-46.9865,-23.0348
c00682,-46.6573,-23.5549
c00683,-46.914,-23.1791
c00684,-44.5555,-22.4893
c00685,-45.8979,-23.2158
c00686,-43.1784,-22.9031
c00687,-43.1726,-22.9134
c00688,-46.5324,-23.4833
c00689,-46.6974,-23.6069
c00690,-46.5169,-23.4703
c00691,-46.8291,-23.6763
c00692,-46.6869,-23.5094
c00693,-45.0952,-23.4922
c00694,-43.1824,-22.908
c00695,-46.6853,-23.6424
c00696,-46.6401,-23.6793
c00697,-46.5446,-23.6466
c00698,-46.7188,-23.8039
c00699,-45.9604,-23.3426
c00700,-43.211,-22.9096
c00701,-47.3088,-23.2288
c00702,-45.6279,-23.0422
c00703,-46.7003,-23.6214
c00704,-45.4237,-23.8617
c00705,-45.9553,-23.2629
c00706,-45.122,-23.3631
c00707,-46.9776,-22.4666
c00708,-46.5407,-23.6318
c00709,-47.1003,-22.9889
c00710,-46.378,-23.4906
c00711,-46.6518,-23.6068
c00712,-46.548,-23.6515
c00713,-46.5696,-23.0658
c00714,-46.7514,-23.5872
c00715,-46.7186,-23.5626
c00716,-46.92,-23.5379
c00717,-46.6909,-23.6043
c00718,-46.6475,-23.6135
c00719,-43.249,-22.9926
c00720,-43.2022,-22.9598
c00721,-46.9189,-23.5292
c00722,-46.6388,-23.5584
c00723,-46.7469,-23.563
c00724,-46.8868,-23.1816
c00725,-45.085,-23.443
c00726,-46.5389,-23.6597
c00727,-45.9285,-23.3125
c00728,-46.848,-23.4979
c00729,-46.6611,-23.5161
c00730,-45.5579,-23.0592
c00731,-46.79,-23.5816
c00732,-46.6145,-23.776
c00733,-46.5797,-23.6703
c00734,-46.6682,-23.5585
c00735,-46.7198,-23.5299
c00736,-46.5967,-23.5416
c00737,-47.0336,-22.9951
c00738,-43.1674,-22.914
c00739,-45.4953,-23.1409
c00740,-46.7121,-23.662
c00741,-46.7085,-23.6249
c00742,-47.1316,-23.4302
c00743,-46.6663,-23.6081
c00744,-46.6118,-23.5524
c00745,-46.5455,-23.6473
c00746,-46.3352,-23.5024
c00747,-46.829,-23.6295
c00748,-46.7492,-23.4661
c00749,-46.6672,-23.6513
c00750,-46.7376,-23.5662
c00751,-45.4553,-23.5935
c00752,-46.4657,-23.1304
c00753,-46.8336,-23.572
c00754,-46.8934,-23.1744
c00755,-46.9301,-23.5172
c00756,-46.5834,-23.4754
c00757,-46.0148,-22.4601
c00758,-46.3227,-23.9665
c00759,-45.5236,-23.1089
c00760,-43.19,-22.9748
c00761,-45.6919,-23.3636
c00762,-46.5895,-23.5928
c00763,-46.3501,-22.8658
c00764,-46.7515,-23.6066
c00765,-46.6914,-23.6085
c00766,-46.5433,-23.6608
c00767,-46.42,-23.4486
c00768,-44.0578,-22.5012
c00769,-46.3393,-23.4586
c00770,-46.8712,-23.6458
c00771,-46.593,-23.5376
c00772,-46.6771,-23.56
c00773,-47.1391,-23.0077
c00774,-46.1265,-23.3523
c00775,-43.1618,-22.9507
c00776,-47.3294,-23.3135
c00777,-46.7007,-23.6199
c00778,-46.3509,-23.4707
c00779,-46.469,-23.6687
c00780,-46.487,-23.7242
c00781,-46.758,-23.569
c00782,-46.4494,-23.4546
c00783,-45.7001,-23.3525
c00784,-46.5712,-23.5436
c00785,-46.5911,-23.5945
c00786,-46.6384,-23.5477
c00787,-46.52,-23.4878
c00788,-46.682,-23.0401
c00789,-46.6543,-23.5634
c00790,-46.7656,-23.7725
c00791,-43.2036,-22.9867
c00792,-46.601,-23.6154
c00793,-46.212,-23.3582
c00794,-43.2094,-22.8777
c00795,-46.4264,-23.7029
c00796,-46.6486,-23.5302
c00797,-46.8501,-23.6272
c00798,-46.6515,-23.6026
c00799,-46.903,-23.1928
c00800,-46.4695,-23.6772
c00801,-45.4621,-22.9269
c00802,-46.6471,-23.5517
c00803,-43.1807,-22.9132
c00804,-46.3724,-23.6269
c00805,-47.2138,-22.8095
c00806,-46.6295,-23.6426
c00807,-46.9836,-23.168
c00808,-46.462,-23.5405
c00809,-45.3117,-23.2174
c00810,-46.6643,-23.5404
c00811,-46.7236,-23.6511
c00812,-46.6339,-23.5439
c00813,-46.7021,-23.5678
c00814,-46.7258,-23.5507
c00815,-43.1821,-22.9055
c00816,-46.7646,-23.432
c00817,-46.2058,-23.5258
c00818,-43.178,-22.9007
c00819,-46.6495,-23.6124
c00820,-47.2916,-22.7277
c00821,-46.661,-23.6256
c00822,-46.6303,-23.636
c00823,-46.1421,-23.4839
c00824,-46.7186,-23.5155
c00825,-46.6301,-23.6472
c00826,-46.5104,-23.4664
c00827,-46.6612,-23.5561
c00828,-43.2457,-22.9865
c00829,-46.642,-23.5743
c00830,-46.6438,-23.5502
c00831,-46.567,-23.5378
c00832,-43.3426,-22.8077
c00833,-46.2465,-23.5428
c00834,-46.3543,-22.8691
c00835,-45.6346,-23.032
c00836,-46.5674,-23.6082
c00837,-45.4409,-23.5907
c00838,-46.567,-23.5339
c00839,-46.9425,-23.1698
c00840,-45.478,-22.9892
c00841,-45.8832,-23.3015
c00842,-46.6918,-23.5906
c00843,-46.8383,-23.0659
c00844,-45.8076,-23.1633
c00845,-46.5717,-23.5131
c00846,-43.1784,-22.9035
c00847,-43.2234,-22.9651
c00848,-46.6595,-23.5577
c00849,-46.1189,-23.2429
c00850,-45.9557,-23.2621
c00851,-46.7221,-23.6405
c00852,-45.1425,-23.495
c00853,-46.672,-23.5259
c00854,-46.0099,-23.2961
c00855,-46.1507,-23.3515
c00856,-46.5101,-23.6242
c00857,-46.7979,-23.422
c00858,-46.5697,-23.0651
c00859,-47.1302,-22.8554
c00860,-46.7075,-23.5721
c00861,-46.6735,-23.5617
c00862,-46.4545,-23.7134
c00863,-46.715,-23.5144
c00864,-45.9374,-23.2513
c00865,-43.2278,-22.9865
c00866,-46.3215,-23.4435
c00867,-47.3221,-23.2573
c00868,-46.5572,-23.4968
c00869,-43.1917,-22.9808
c00870,-46.6531,-23.564
c00871,-46.6523,-23.6068
c00872,-46.6316,-23.5289
c00873,-47.1345,-22.9653
c00874,-43.2212,-22.9644
c00875,-45.43,-23.6029
c00876,-43.2304,-22.8858
c00877,-46.6293,-23.6289
c00878,-46.5317,-23.6653
c00879,-46.8895,-23.1716
c00880,-46.3521,-22.8672
c00881,-43.2254,-22.9849
c00882,-46.3928,-23.7515
c00883,-46.5634,-23.5006
